Rock_Type,F_ppm,Cl_ppm,Br_ppb,I_ppb
UHP eclogite,55,28,30,2
UHP eclogite,94,28,30,3
UHP eclogite,135,37,29,9
UHP eclogite,231,28,34,78
UHP eclogite,192,42,31,80
UHP eclogite,228,38,7,62
UHP eclogite,168,44,33,82
UHP eclogite,225,34,30,68
UHP eclogite,208,34,31,68
UHP eclogite,40,20,12,63
UHP eclogite,32,19,13,62
UHP eclogite,35,20,12,64
UHP eclogite,31,17,13,63
UHP eclogite,40,20,31,66
UHP eclogite,38,25,12,64
