stage,sample_id,H2O_min_wt%,H2O_max_wt%,F_ppm,Cl_ppm,Br_ppb,I_ppb
HP eclogite,KP1-5,0.5,2,247,31,84,18
HP eclogite,KP1-6,0.5,2,279,18,89,26
HP eclogite,76-47,0.5,2,425,27,86,4
HP eclogite,76-94,0.5,2,442,35,63,7
HP eclogite,76-96,0.5,2,481,44,63,7
HP eclogite,76-100,0.5,2,392,48,103,3
HP eclogite,76-225,0.5,2,440,33,104,3
HP eclogite,76-241,0.5,2,447,46,138,3
HP eclogite,76-243,0.5,2,411,35,29,3
HP eclogite,76-398,0.5,2,447,57,138,32
HP eclogite,77-560,0.5,2,371,69,161,53
HP eclogite,77-562,0.5,2,410,44,85,21
HP eclogite,77-566,0.5,2,413,35,33,3
HP eclogite,74-129,0.5,2,392,48,129,8
HP eclogite,91-A100,0.5,2,380,44,96,3
HP eclogite,19.2,0.5,2,89,19,40,44
HP eclogite,19.2.2,0.5,2,89,20,50,53
HP eclogite,19.2.3,0.5,2,88,18,32,44
HP eclogite,20.1.11,0.5,2,333,34,142,63
HP eclogite,20.1.3,0.5,2,156,25,139,44
HP eclogite,20.1.8,0.5,2,212,29,100,69
HP eclogite,3109,0.5,2,187,30,103,8
HP eclogite,3110,0.5,2,177,29,66,35
HP eclogite,3111,0.5,2,170,31,103,36
HP eclogite,3112,0.5,2,182,29,104,31
HP eclogite,3113,0.5,2,385,31,134,19
HP eclogite,3115,0.5,2,147,29,73,44
HP eclogite,3136,0.5,2,123,32,101,44
HP eclogite,3138,0.5,2,123,34,72,44
HP eclogite,3141,0.5,2,119,26,133,18
HP eclogite,3142,0.5,2,131,35,103,30
HP eclogite,3143,0.5,2,135,34,104,47
HP eclogite,3100,0.5,2,391,43,120,8
HP eclogite,3101,0.5,2,383,45,130,8
HP eclogite,,0.5,2,318,58,116,62
HP eclogite,,0.5,2,449,37,77,3
HP eclogite,MV2,0.5,2,142,11,60,61
HP eclogite,MV7,0.5,2,299,28,137,55
HP eclogite,MV8,0.5,2,271,32,140,34
HP eclogite,OF3158,0.5,2,451,33,96,46
HP eclogite,RO85/127,0.5,2,82,15,17,7
HP eclogite,DC54C,0.5,2,211,9,25,2
HP eclogite,DC54D,0.5,2,211,9,25,2
HP eclogite,DC97 ,0.5,2,213,80,172,42
HP eclogite,POH19,0.5,2,151,9,74,45
HP eclogite,W253614,0.5,2,293,29,139,55
HP eclogite,W253615,0.5,2,169,34,75,3
HP eclogite,W253616,0.5,2,139,33,79,16
HP eclogite,W253617,0.5,2,99,10,83,35
HP eclogite,W253618,0.5,2,101,23,105,13
HP eclogite,W253619,0.5,2,145,16,70,62
HP eclogite,W253620,0.5,2,116,22,102,12
HP eclogite,W253621,0.5,2,272,41,147,66
HP eclogite,W253622,0.5,2,293,29,146,68
HP eclogite,W253623,0.5,2,103,22,104,38
HP eclogite,W253624,0.5,2,296,27,137,70
HP eclogite,W253625,0.5,2,100,24,76,8
HP eclogite,W253626,0.5,2,353,46,151,67
HP eclogite,W253627,0.5,2,137,11,132,43
HP eclogite,W253628,0.5,2,106,21,79,12
HP eclogite,W253629,0.5,2,116,15,114,14
HP eclogite,W253630,0.5,2,340,30,119,5
HP eclogite,SEC43-3,0.5,2,147,5,43,60
HP eclogite,SEC46-1,0.5,2,152,9,48,56
HP eclogite,SEC46-2,0.5,2,157,14,70,55
HP eclogite,SEC47-1,0.5,2,118,7,47,37
HP eclogite,SEC42-6,0.5,2,120,14,194,59
HP eclogite,SEC43-1,0.5,2,113,7,34,66
HP eclogite,SEC44-1,0.5,2,116,4,48,60
HP eclogite,SEC 42-6,0.5,2,120,14,194,59
HP eclogite,SEC 43-1,0.5,2,113,7,34,66
HP eclogite,SEC 43-3,0.5,2,147,5,43,60
HP eclogite,SEC 44-1,0.5,2,116,4,48,60
HP eclogite,SEC 46-1,0.5,2,152,9,48,56
HP eclogite,SEC 46-2,0.5,2,157,14,70,55
HP eclogite,SEC 47-1,0.5,2,118,7,47,37
HP eclogite,SEC 50-1,0.5,2,137,7,42,59
HP eclogite,SEC 44-2,0.5,2,173,23,42,60
HP eclogite,SEC 44-4,0.5,2,158,22,45,65
HP eclogite,SEC 42-8,0.5,2,153,22,46,62
HP eclogite,SEC 12-1,0.5,2,165,33,126,54
HP eclogite,SEC 12-2,0.5,2,161,23,44,62
HP eclogite,SEC 12-3,0.5,2,171,22,48,60
HP eclogite,SEC 45-1,0.5,2,147,24,38,57
HP eclogite,SEC 45-2,0.5,2,159,22,42,60
HP eclogite,SEC 45-5,0.5,2,166,22,72,56
HP eclogite,UH1,0.5,2,193,45,124,56
HP eclogite,UH8,0.5,2,193,39,85,57
HP eclogite,UH3,0.5,2,299,28,53,36
HP eclogite,UH6,0.5,2,282,31,59,46
HP eclogite,UH11,0.5,2,168,28,45,51
HP eclogite,UH12,0.5,2,204,24,71,47
HP eclogite,UH2,0.5,2,210,38,122,3
HP eclogite,UH5,0.5,2,297,37,72,3
HP eclogite,UH7,0.5,2,339,24,61,3
